RazaoSocial;UF;TotalDespesas;MediaPorTrimestre;DesvioPadrao;QuantidadeTrimestres
IRMANDADE DA SANTA CASA DE MISERICÓRDIA E MATERNIDADE DONA ZILDA SALVAGNI;SP;45158573.09;15052857.70;7862936.63;3
UNIMED-RIO COOPERATIVA DE TRABALHO MEDICO DO RIO DE JANEIRO;RJ;43905275.41;43905275.41;0;1
UNIMED CALDAS NOVAS - COOPERATIVA DE TRABALHO MEDICO;GO;43778931.74;14592977.25;7477865.04;3
UNIMED DE REGISTRO COOPERATIVA DE TRABALHO MÉDICO;SP;43716496.47;14572165.49;7319021.15;3
ASSOCIACAO DOS PROFESSORES UNIVERSITÁRIOS DA BAHIA;BA;42990324.37;14330108.12;7625127.26;3
UNIMED SÃO SEBASTIÃO DO PARAÍSO COOPERATIVA DE TRABALHO MÉDICO;MG;42744025.09;14248008.36;7420338.05;3
UNIMED TRÊS PONTAS - COOPERATIVA DE TRABALHO MÉDICO;MG;42632263.76;14210754.59;7433165.12;3
ADVANCE PLANOS DE SAÚDE LTDA;SP;42487948.39;14162649.46;7782476.37;3
ASSOCIAÇÃO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DO RIO DE JANEIRO;RJ;41941274.83;13980424.94;6179147.98;3
UNIODONTO BELÉM - COOPERATIVA DE ASSISTÊNCIA À SAÚDE ODONTOLÓGICA;PA;41902718.06;13967572.69;7360738.61;3
UNIMED REGIONAL DE FLORIANO - COOPERATIVA DE TRABALHO MÉDICO;PI;41808771.09;13936257.03;7128594.47;3
UNIMED VALE DO CORUMBÁ COOPERATIVA DE TRABALHO MEDICO;GO;41151778.84;13717259.61;7504109.18;3
ASSOCIAÇÃO DOS EMPREGADOS DA COMPANHIA ESTADUAL DE HABITAÇÃO E OBRAS PÚBLICAS - ASSEC;SE;40993810.66;13664603.55;7551041.80;3
TRINO - ALIANCA FILANTRÓPICA DE ASSISTÊNCIA E INTEGRAÇÃO PARA O DESENVOLVIMENTO DA SAUDE;ES;40930520.81;13643506.94;7963755.52;3
UNIMED SUDOESTE DE MINAS COOPERATIVA DE TRABALHO MÉDICO;MG;40828472.23;13609490.74;8314137.01;3
PRONTOCLINICA E HOSPITAIS SAO LUCAS S/A;MG;40760453.54;13586817.85;7406365.04;3
UNIMED REGIÃO DA FRONTEIRA - RS COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;40124974.00;13374991.33;7089448.08;3
ASSOCIAÇÃO SANTA CASA CLÍNICAS DE BIRIGUI;SP;40106341.70;13368780.57;7084172.82;3
SV SAUDE ADMINSTRADORES DE PLANO DE SAUDE LTDA;RJ;40014465.24;13338155.08;7326531.74;3
FEDERAÇÃO DAS COOP ODONTOLÓGICAS DO ESTADO DE SANTA CATARINA;SC;39286550.81;13095516.94;7403081.14;3
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE DA BAIXADA SANTISTA;SP;39032171.94;13010723.98;6312731.80;3
FUNDACAO CAPITAL PREVIDENCIA E SAUDE - CAPITAL PREV;ES;39028302.27;19514151.14;8457314.95;2
UNIX SAÚDE S.A;BA;38097944.74;12699314.91;6616134.87;3
PB ASSISTENCIA MEDICA EU LTDA;BA;37662784.06;12554261.35;8181540.35;3
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE ARAÇATUBA (APAS);SP;37268939.14;12422979.71;6097749.59;3
UNIMED SUDOESTE PAULISTA COOPERATIVA DE TRABALHO MÉDICO;SP;37183333.57;12394444.52;6469154.22;3
SANTA CASA DE MISERICORDIA HOSPITAL SÃO VICENTE;SP;37006761.88;12335587.29;6554588.82;3
FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MÉDICO DO ACRE, AMAPÁ, AMAZONAS, PARÁ, RONDONIA E RORAIMA;AM;36918032.69;36918032.69;0;1
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANESE;SE;36127689.51;12042563.17;6061754.89;3
ATÍVIA SERVIÇOS DE SAÚDE S/A;SP;35493111.49;17746555.75;3835730.16;2
PESSOAL SAÚDE PLANOS DE ASSISTÊNCIA MÉDICA LTDA;SP;35484113.44;11828037.81;6202246.92;3
EVANGELICO SAUDE LTDA.;PR;34761835.18;11587278.39;5740043.33;3
COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE LTDA.;RS;33819143.19;11273047.73;6366348.59;3
UNIODONTO DE FORTALEZA COOPERATIVA DE TRABALHO ODONTOLOGICO LTDA;CE;33533939.41;11177979.80;5837008.48;3
ASSOCIAÇÃO GOIANA DO MINISTÉRIO PÚBLICO;GO;33283866.85;11094622.28;5913645.58;3
ALLIANZ SAÚDE S/A;SP;32422966.53;10807655.51;3919311.71;3
ASSOCIAÇÃO SAÚDE CONCEIÇÃO;SC;32135174.40;10711724.80;6095944.71;3
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANEB;BA;31883484.09;10627828.03;3962559.68;3
UNIMED CACERES COOPERATIVA DE TRABALHO MÉDICO;MT;31759388.42;10586462.81;5265321.99;3
AME VVIDA PLANOS DE SAUDE INTEGRADO LTDA.;RO;31438475.12;10479491.71;5339997.81;3
CAIXA DE ASSISTÊNCIA DO SINDFISCO - CASSIND;SE;31332223.65;10444074.55;5774695.03;3
SANTA CASA DE MISERICÓRDIA E BENEFICÊNCIA PORTUGUESA;SP;31168285.71;10389428.57;6198979.77;3
UNIODONTO REGIONAL COOPERATIVA ODONTOLOGICA;MG;30926940.40;10308980.13;5671047.72;3
MAIS SAUDE S/A;ES;30067203.76;15033601.88;10669027.51;2
UNIODONTO MACEIÓ COOPERATIVA ODONTOLÓGICA;AL;29740993.05;9913664.35;5215338.09;3
BIO SAÚDE SERVIÇOS MÉDICOS LTDA;SP;29568902.55;9856300.85;4774651.78;3
SOCIEDADE PORTUGUESA DE BENEFICÊNCIA;RS;29499003.49;9833001.16;5241147.29;3
UNIODONTO PORTO ALEGRE COOPERATIVA ODONTOLOGICA LTDA;RS;29446934.63;9815644.88;6163350.43;3
UNIDENTIS ASSISTENCIA ODONTOLOGICA LTDA.;PB;29342091.79;9780697.26;4909307.13;3
DESBAN - FUNDAÇÃO BDMG DE SEGURIDADE SOCIAL;MG;29183836.20;9727945.40;4855191.17;3
UNIODONTO PIRACICABA - COOPERATIVA ODONTOLÓGICA;SP;29082633.43;9694211.14;5400955.88;3
UNIODONTO/RN - COOPERATIVA ODONTOLOGICA DO RIO GRANDE DO NORTE;RN;28897419.15;9632473.05;5138323.51;3
ASSOCIAÇÃO VALEPARAIBANA DE ASSISTÊNCIA MÉDICA POLICIAL;SP;28302930.25;9434310.08;3489899.04;3
UNIMED REGIÃO DA PRODUÇÃO/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA;RS;27781169.98;9260389.99;5402023.56;3
UNIODONTO DE SC COOPERATIVA ADMINISTRADORA DE CONTRATOS;SC;27726742.44;9242247.48;4940024.21;3
SANTA CASA DE SAÚDE - SCS;ES;27560748.39;9186916.13;5354626.88;3
UNIODONTO GOIANIA COOPERATIVA DE CIRURGIÕES DENTISTAS;GO;27439145.21;9146381.74;4931835.02;3
UNIMED SÃO JOÃO NEPOMUCENO COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;27393937.08;9131312.36;4833721.27;3
ATITUDE SAÚDE ASSISTÊNCIA MEDICA LTDA;BA;26971823.53;8990607.84;5239004.29;3
UNIMED DE PENAPOLIS - COOPERATIVA DE TRABALHO MEDICO;SP;26228831.63;8742943.88;5275400.64;3
UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA.;GO;25965374.28;8655124.76;4943828.60;3
HOSPITAL DE PRONTOCLINICA LTDA.;RS;25551239.89;8517079.96;4213378.71;3
UNIMED MACHADO COOPERATIVA DE TRABALHO MEDICO;MG;25264551.20;8421517.07;4580668.70;3
UNIMED VALE DO CARANGOLA COOPERATIVA DE TRABALHO MEDICO LTDA;MG;25171301.45;8390433.82;4500609.25;3
FUNASA SAÚDE;PB;24996006.83;8332002.28;4475865.02;3
NACIONAL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA.;PE;24628998.22;8209666.07;4055610.56;3
AURORA SAÚDE LTDA;MG;24535483.91;8178494.64;5053360.75;3
UNIMED ALTO JACUÍ/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA;RS;24110155.79;8036718.60;3857214.42;3
UNIMED PATOS - COOPERATIVA DE TRABALHO MÉDICO;PB;23857790.32;7952596.77;4422373.22;3
COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE DO VALE DO RIO DOS SINOS LTDA;RS;23785655.50;7928551.83;3931335.89;3
CARE PLUS ODONTOLOGIA ASSISTENCIAL LTDA.;SP;22863385.15;7621128.38;6765873.97;3
RIO DOCE SAÚDE;ES;22861517.03;7620505.68;4218229.47;3
VIDA TOP MAIS SAÚDE OPERADORA DE PLANOS DE SAÚDE LTDA.;SP;22760529.86;7586843.29;4638718.15;3
ON MED ASSISTÊNCIA MÉDICA LTDA;RS;22319128.34;7439709.45;5463249.41;3
R.M.I. OPERADORA DE SAÚDE INTEGRADA LTDA;SP;22021317.66;11010658.83;3401098.47;2
ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS);SP;21893988.12;7297996.04;4043911.76;3
UNIMED PONTE NOVA COOPERATIVA DE TRABALHO MEDICO LTDA;MG;21838755.97;7279585.32;4143177.09;3
UNIODONTO DE JOÃO PESSOA COOPERATIVA ODONTOLÓGICA;PB;21819023.21;7273007.74;3254904.29;3
VIVENTERIS LTDA;PR;21037418.58;7012472.86;3773076.54;3
UNIMED REGIONAL DE PICOS - COOPERATIVA DE TRABALHO MÉDICO;PI;21012800.12;7004266.71;3605941.46;3
ASSOCIAÇAO UNISAUDE MARAU;RS;20922243.10;6974081.03;3432876.69;3
SUL DO PARÁ LTDA;PA;20830054.23;6943351.41;2386761.76;3
TOTAL ASSISTÊNCIA MÉDICA HOSPITALAR LTDA;MG;20400383.15;6800127.72;3511603.89;3
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE;SP;20348295.20;6782765.07;3599016.24;3
UNIMED DE CORUMBA COOPERATIVA DE TRABALHO MÉDICO;MS;20296630.68;6765543.56;3947456.74;3
ODONTO EMPRESAS CONVENIOS DENTARIOS LTDA.;SP;19846633.42;6615544.47;3514459.94;3
UNIMED MORRINHOS COOPERATIVA DE TRABALHO MEDICO;GO;19563734.70;6521244.90;3950200.01;3
UNIODONTO DO BRASIL CENTRAL NACIONAL DAS COOPERATIVAS ODONTÓLOGICAS;SP;19530587.94;6510195.98;3783886.55;3
ASSOCIACAO DE SAUDE HOLAMBRA;SP;19166372.99;6388791.00;3582982.16;3
ODONTOGROUP SISTEMA DE SAÚDE LTDA.;DF;19093145.77;6364381.92;3372181.72;3
UNIMED DO OESTE DA BAHIA COOPERATIVA DE TRABALHO MÉDICO;BA;18915952.32;6305317.44;4074774.99;3
ASSOCIAÇÃO DOS SERVIDORES MUNICIPAIS, ESTADUAIS E FEDERAIS DO RIO DE JANEIRO;RJ;18901491.49;6300497.16;3284553.56;3
UNIMED SOUSA - COOPERATIVA DE TRABALHO MÉDICO;PB;18726821.42;6242273.81;2814449.16;3
FUNDAÇÃO PLAMHUV - PLANO MÉDICO HOSPITALAR DOS HOSPITAIS UNIDOS DE VIÇOSA;MG;18323555.31;6107851.77;3494458.90;3
HOSPITAL CESAR LEITE;MG;18019610.22;6006536.74;3500486.39;3
UNIODONTO PAULISTA-FEDERAÇÃO DAS COOPERATIVAS ODONTOLÓGICAS DO ESTADO DE SÃO PAULO;SP;17936406.37;5978802.12;3269223.54;3
ASSOCIAÇÃO DOS FUNCIONÁRIOS FISCAIS DO ESTADO DO AMAZONAS - AFFEAM;AM;17191045.51;5730348.50;3753418.83;3
OPLAN SAÚDE OPERADORA DE PLANO DE SAÚDE LTDA;RJ;17129746.25;5709915.42;3180779.93;3
UNIODONTO DE MANAUS - COOPERATIVA ODONTOLÓGICA LTDA.;AM;16658539.89;5552846.63;2733592.16;3
SOCIEDADE DE ASSISTÊNCIA MÉDICA - SAMEISA;RS;16609677.09;5536559.03;2888163.00;3
CAIXA DE ASSISTÊNCIA À SAÚDE DOS TRABALHADORES NAS INDÚSTRIAS METALÚRGICAS, MECÂNICAS E DO MATERIAL ELÉTRICO DE BRUSQUE;SC;16556440.91;5518813.64;3022697.48;3
ASSOCIAÇÃO BENEFICENTE CATÓLICA;MG;16120312.08;5373437.36;2798238.00;3
SISTEMA TOTAL DE SAÚDE LTDA.;SP;15911906.56;5303968.85;2653520.84;3
CAIXA ASSISTENCIAL UNIVERSITARIA DO RIO DE JANEIRO;RJ;15777890.59;5259296.86;2748659.14;3
ANGELI SISTEMAS DE SAUDE S.A.;PR;15414761.42;5138253.81;2739833.02;3
HOSPITAL S.P. LTDA.;RS;15246610.37;5082203.46;2413900.65;3
ASSOCIAÇÃO POLICIAL DE ASSISTENCIA À SAUDE DE SAO JOAO DA BOA VISTA;SP;15186245.77;5062081.92;2788408.93;3
UNIMED CAMPO BELO- COOPERATIVA DE TRABALHO MÉDICO;MG;14622740.68;4874246.89;2380047.50;3
AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA;MG;14510938.95;4836979.65;2441260.54;3
PRIMA VIDA ODONTOLOGIA DE GRUPO LIMITADA;RJ;14489221.39;4829740.46;2278413.70;3
PLAMESC PLANOS DE SAÚDE LTDA;RJ;14250258.43;4750086.14;2316843.31;3
PORTOMED - PORTO SEGURO SERVIÇOS DE SAUDE LTDA;SP;14157909.27;4719303.09;4663994.70;3
CONFIANÇA ASSISTÊNCIA MÉDICO HOSPITALAR LTDA;MG;13875672.73;4625224.24;2528343.07;3
PRONTO SOCORRO CONDE DE MOREIRA LIMA;SP;13449626.11;4483208.70;2504599.60;3
UNIODONTO DE AMERICANA COOPERATIVA ODONTOLÓGICA;SP;13404862.58;4468287.53;2453108.75;3
SANTA CASA DE MISERICÓRDIA DE TUPÃ;SP;13213144.24;4404381.41;2071442.10;3
ASSOCIACAO CIVIL PRÓ-SAÚDE DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA;PR;13161770.35;4387256.78;2333617.14;3
ORALE ASSISTÊNCIA ODONTOLÓGICA LTDA;BA;13100420.05;4366806.68;2192914.87;3
SERVDONTO - PLANO DE ASSISTÊNCIA ODONTOLÓGICA LTDA;SE;12938886.72;4312962.24;2266158.15;3
ASSOCIAÇÃO UNIVIDA SANTA RITA DO PASSA QUATRO;SP;12740293.46;4246764.49;2109542.35;3
MEDIC GLOBAL PLANOS DE SAÚDE LTDA.;MG;12595330.33;4198443.44;2529798.18;3
COMSEDER - COOPERATIVA DE ASSISTÊNCIA MÉDICA DOS SERVIDORES DA SUPLAN E DO DER LTDA;PB;12486200.07;4162066.69;2123254.30;3
MEDGOLD ASSISTENCIA MEDICA LTDA - ME;MG;12323662.70;4107887.57;2111928.54;3
ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE ITAPETININGA;SP;12116571.93;4038857.31;2124362.04;3
TELOS - FUNDAÇÃO EMBRATEL DE SEGURIDADE SOCIAL;RJ;11861210.63;3953736.88;2514534.37;3
VOCÊ TOTAL PLANOS DE SAÚDE LIMITADA;SP;11597210.70;5798605.35;1980402.16;2
UNIODONTO UBERABA - COOPERATIVA DE ASSISTÊNCIA À SAÚDE ODONTOLÓGICA LTDA;MG;11387032.71;3795677.57;2261214.48;3
PLENUM ASSISTENCIA MEDICA  LTDA;DF;10897990.71;5448995.36;2436202.93;2
DONA SAÚDE CLINICAS LTDA;SP;10836519.09;3612173.03;463717.34;3
FUNDO DE ASSISTÊNCIA MÉDICO-HOSPITALAR DO MINISTÉRIO PÚBLICO;MS;10759445.38;3586481.79;2302520.80;3
NOSAMED ASSISTÊNCIA MÉDICA LTDA.;SP;10597095.86;3532365.29;1904414.42;3
UNIMED DE BATATAIS - COOPERATIVA DE TRABALHO MÉDICO;SP;10594634.16;3531544.72;1931719.50;3
PERSONAL CARE OPERADORA DE SAÚDE SA;SP;10533459.50;5266729.75;1442400.80;2
UNIODONTO DE SOROCABA COOPERATIVA ODONTOLÓGICA;SP;10517312.31;3505770.77;1964883.88;3
S1 OPERADORA DE PLANO DE SAÚDE LTDA;DF;10298939.37;3432979.79;1935632.69;3
CAIXA BENEFICENTE DOS FUNCIONÁRIOS DO GRUPO IGUAÇU;PR;10241405.53;3413801.84;1583890.98;3
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BARRETOS;SP;10199327.13;3399775.71;1689447.15;3
PLANO ASSISTENCIAL SÃO LUCAS LTDA;MG;10088027.78;3362675.93;1644056.22;3
CARING SAÚDE ASSISTÊNCIA MÉDICA LTDA.;RJ;9729203.52;3243067.84;1751329.67;3
UNIODONTO DE ARARAQUARA COOPERATIVA ODONTOLÓGICA;SP;9683355.26;3227785.09;1728231.41;3
UNIODONTO VALE HISTORICO COOPERATIVA ODONTOLOGICA;SP;9679129.96;3226376.65;1842827.55;3
CEDPLAN SAÚDE LTDA EPP;MG;9554508.99;3184836.33;1736147.34;3
SEMPRE ODONTO PLANOS ODONTOLOGICOS LTDA;RJ;9553063.84;3184354.61;1618613.09;3
UNIODONTO DO SUL GOIANO COOPERATIVA ODONTOLOGICA;GO;9130767.48;3043589.16;1506236.01;3
ASSOCIAÇÃO DOS SERVIDORES PÚBLICOS DA ADMINISTRAÇÃO DIRETA DO GOVERNO DO ESTADO DO PARÁ - ASPARÁ;PA;8821437.22;2940479.07;1509968.26;3
UNIODONTO DE JUNDIAÍ COOPERATIVA ODONTOLÓGICA;SP;8796987.22;2932329.07;1556019.38;3
ODONTOART PLANOS ODONTOLÓGICOS LTDA;CE;8741130.03;2913710.01;1540273.66;3
COOPERATIVA ODONTOLÓGICA POÇOS DE CALDAS;MG;8603468.17;2867822.72;1395274.34;3
UNIODONTO ESPIRITO SANTO COOPERATIVA ODONTOLOGICA;ES;8235732.23;2745244.08;1485405.37;3
ASSOCIAÇÃO HOSPITAL SAÚDE DE VARGEM GRANDE DO SUL;SP;8164929.22;2721643.07;1328970.01;3
UNIODONTO MARINGA COOPERATIVA ODONTOLOGICA;PR;8121056.26;2707018.75;1490647.73;3
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE PRESIDENTE VENCESLAU;SP;8060244.89;2686748.30;1381114.31;3
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE DRACENA;SP;7759407.49;2586469.16;1563747.49;3
DENTALPAR ASSISTÊNCIA ODONTOLÓGICA EMPRESARIAL LTDA.;SP;7735498.58;2578499.53;1413877.67;3
PRESERVE SAUDE ASSISTENCIA MEDICA LTDA;BA;7634368.92;2544789.64;1222046.50;3
PLANO VIDA SAUDE SERVIÇOS ODONTOLOGICOS LTDA;SE;7579842.09;2526614.03;1468225.55;3
SEPACO SAÚDE LTDA;SP;7485293.20;2495097.73;1363667.09;3
VALE PLANOS DE SAÚDE LTDA;PE;7301568.56;2433856.19;1950193.87;3
UNIODONTO DE LONDRINA COOP. ODONTOLÓGICA;PR;6996892.79;2332297.60;1242411.90;3
UNIODONTO DE PRESIDENTE PRUDENTE COOPERATIVA ODONTOLOGICA;SP;6968336.10;2322778.70;840105.29;3
AESP ODONTO ASSISTÊNCIA ODONTOLÓGICA S/S LTDA EPP;SP;6958666.08;2319555.36;1342525.24;3
SD-M OPERADORA DE PLANOS DE SAUDE LTDA;RJ;6942231.38;2314077.13;1239616.72;3
COOPERATIVA ODONTOLÓGICA DO ESTADO DO AMAPÁ;AP;6915264.40;2305088.13;1227172.46;3
DENTAL CENTER LTDA;PB;6807693.18;2269231.06;1181382.54;3
RODRIGUES LEIRA ODONTOLOGIA LTDA.;SP;6705649.11;2235216.37;1191447.93;3
PLANO DE ASSISTÊNCIA MÉDICA MINEIRA LTDA;MG;6652068.47;2217356.16;1463246.82;3
SAMIG - SERV. DE ASSISTENCIA MEDICA DA ILHA DO GOVERNADOR LTDA;RJ;6533908.10;2177969.37;723277.00;3
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SETOR PÚBLICO DO ESTADO DE GOIÁS - CAEME;GO;6517018.87;2172339.62;1206465.15;3
ASSOCIAÇÃO SAÚDE RURAL ALEGRETE;RS;6472274.95;2157424.98;1429198.60;3
UNIODONTO JACAREÍ COOPERATIVA ODONTOLÓGICA;SP;6462261.59;2154087.20;1165130.63;3
CAMIM OPERADORA DE PLANO DE SAÚDE LTDA;RJ;6411527.77;2137175.92;1138642.42;3
ASSOCIACAO DOS SERVIDORES DA EMDAGRO - ASSEM;SE;6342369.03;2114123.01;1113100.96;3
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE JAÚ;SP;6223402.63;2074467.54;866409.98;3
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE APAS;SP;6171098.16;2057032.72;601418.04;3
ASSOCIAÇÃO POLICIAL DE ASSISTENCIA A SAUDE DE BOTUCATU;SP;6123839.79;2041279.93;1412276.93;3
DENTAL MASTER LTDA - EPP;AL;6039051.68;2013017.23;989794.97;3
UNIMED CAJAZEIRAS - SOCIEDADE COOPERATIVA DE TRABALHO MÉDICO;PB;5948562.85;1982854.28;1073938.03;3
HSMED SAUDE LTDA;RJ;5946681.71;1982227.24;1059357.31;3
MH VIDA - OPERADORA DE PLANOS DE SAÚDE LTDA;RJ;5773982.00;1924660.67;1131165.74;3
BENEFICENCIA SOCIAL BOM SAMARITANO;MG;5745539.28;1915179.76;1154137.41;3
SANTA CASA DE MISERICÓRDIA E ASILO DOS POBRES DE BATATAIS;SP;5717843.96;1905947.99;896969.44;3
ODONTOLIVE OPERADORA DE PLANOS ODONTOLÓGICOS LTDA.;SP;5460436.99;1820145.66;1025557.86;3
UNIODONTO RS FEDERACAO DAS UNIODONTOS DO RGS LTDA;RS;5367267.56;1789089.19;921990.90;3
DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.;PB;5302632.21;1767544.07;869670.35;3
DENTAL PLUS CONVÊNIO ODONTOLÓGICO LTDA.;SP;5150569.12;1716856.37;926712.02;3
UNIODONTO DE SERTAOZINHO SP COOPERATIVA ODONTOLOGICA;SP;5083041.36;2541520.68;823170.58;2
SALUSMED OPERADORA DE PLANOS DE SAUDE LTDA;SP;5024457.74;1674819.25;1176218.21;3
ODONT-OPERADORA ODONTOLOGICA LTDA;SP;4887381.52;1629127.17;766697.50;3
UNIMED NORTE/NORDESTE-FEDERAÇÃO INTERFEDERATIVA DAS SOCIEDADES COOPERATIVAS DE TRABALHO MÉDICO EM RECUPERAÇÃO JUDICIAL;PB;4851281.62;1617093.87;911748.61;3
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE - VALE DO RIBEIRA;SP;4822676.88;1607558.96;751896.75;3
PD BRASIL ASSISTENCIA ODONTOLOGICA LTDA;MG;4694598.25;1564866.08;696793.70;3
UNIODONTO DE PINDAMONHANGABA COOP ODONTOLOGICA;SP;4638634.08;1546211.36;549109.97;3
ASSOC DE ASSIST À SAÚDE DOS SERV DAS UNIV E INST FED, EST E/OU FAC PART EM PE;PE;4633662.43;1544554.14;617412.95;3
COOPERATIVA DE TRABALHO ODONTOLOGICO - UNIODONTO ITAJUBÁ;MG;4545201.79;1515067.26;860816.56;3
YOU ASSISTÊNCIA MÉDICA LTDA.;MG;4309234.67;4309234.67;0;1
GAMA SAUDE LTDA.;SP;4279064.30;2139532.15;661859.10;2
CEAM BRASIL - PLANOS DE SAÚDE LTDA;MG;4262970.73;4262970.73;0;1
ASSOCIAÇÃO PADRE PIO PLANOS DE SAÚDE;SP;4207078.17;1402359.39;693097.42;3
PREVENT SENIOR CORPORATE OPERADORA DE SAÚDE LTDA.;SP;4067514.46;1355838.15;578095.76;3
PORTO DIAS SAUDE LTDA.;PA;3945199.94;1315066.65;768339.87;3
ASSOCIAÇÃO SERVIÇOS ODONTOLÓGICOS DA INDÚSTRIA DE MINAS GERAIS - ODONTOINDUSTRIA;MG;3848443.70;1282814.57;695852.08;3
ÔNIX OPERADORA DE PLANOS DE SAÚDE LTDA;RJ;3751828.82;1250609.61;785993.90;3
CENTRO DE ENDOCRINOLOGIA DE JUNDIAÍ S/S LTDA;SP;3700476.85;1233492.28;610822.09;3
PLANO DE ASSISTÊNCIA ODONTOLÓGICA FAUCHARD LTDA. ME;BA;3570147.87;1190049.29;637978.85;3
ASSOCIAÇÃO DOS FISCAIS DE TRIBUTOS ESTADUAIS DO RS - AFISVEC;RS;3311291.03;1103763.68;669447.89;3
QUALIDONTO - QUALIDADE EM ODONTOLOGIA LTDA;BA;3285732.18;1095244.06;677695.72;3
HEALTH-MED SISTEMA DE SAUDE LTDA;RJ;3217637.77;1072545.92;619168.39;3
UNIODONTO DE MATO GROSSO COOP TRAB ODONTOLOGICO LTDA;MT;2848647.94;949549.31;514586.71;3
BLUZZ SAÚDE S/A;ES;2774706.65;924902.22;777996.31;3
ODONTO SEG OPERADORA DE PLANOS ODONTOLOGICOS S.A.;SP;2635324.38;878441.46;384022.13;3
SANTA CASA DA MISERICÓRDIA DE SÃO JOÃO DEL REI;MG;2122604.05;707534.68;332964.31;3
SAME-SERVIÇO DE ASSISTÊNCIA MÉDICA EMPRESARIAL LTDA.;MA;2046916.83;682305.61;326002.97;3
HOSPITAL DE CARIDADE SÃO VICENTE DE PAULO;PR;2026490.14;675496.71;32912.54;3
INNOVA PLANO DE SAUDE LTDA;RO;1920992.87;960496.44;845800.90;2
SISTEMA PREVSAUDE DENTAL LTDA;CE;1906012.78;635337.59;311057.93;3
NOVODENTE S/A;RS;1858605.97;1858605.97;0;1
CASA DE SAÚDE NOSSA SENHORA DE FÁTIMA  LTDA.;CE;1782120.91;594040.30;324392.51;3
SORRIDEN CONVÊNIOS ODONTOLÓGICOS S.A.;SP;1757112.95;585704.32;279289.05;3
CROWN ODONTOLOGIA DE GRUPO LTDA;SP;1631375.75;543791.92;287324.32;3
INFINITY SAÚDE SUPLEMENTAR LTDA;MT;1598984.71;532994.90;366582.40;3
MEDHEALTH PLANOS DE SAÚDE LTDA;PR;1484944.68;1484944.68;0;1
UNIMED INTRAFEDERATIVA FEDERAÇÃO REGIONAL SUL DE MINAS;MG;1484488.45;494829.48;276015.45;3
BRASIL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA;TO;1257338.90;419112.97;191347.33;3
PLAMEDH - PLANO DE ASSISTÊNCIA MÉDICO-HOSPITALAR LTDA;MG;1087155.02;543577.51;144135.39;2
ODONTO PRIME S/S LTDA;CE;937985.75;312661.92;162963.58;3
EXCELÊNCIA PLANO DE SAÚDE S/A;ES;801593.92;267197.97;424304.90;3
POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;RS;755876.19;251958.73;125017.02;3
ODILE SERVIÇOS DE SAÚDE LTDA.;SP;731806.59;365903.30;258243.63;2
PLANO SIGMA SAÚDE LTDA;SP;703992.95;351996.48;34588.57;2
ASSISTÊNCIA MÉDICA 12 DE OUTUBRO LTDA;SP;696205.41;232068.47;141523.95;3
G & M ASSESSORIA MEDICA EMPRESARIAL LTDA;RJ;674255.52;224751.84;137431.63;3
SAUDIA ASSISTENCIA MÉDICA LTDA;MG;645586.13;215195.38;153177.10;3
CAIXA SEGURADORA ESPECIALIZADA EM SAÚDE S/A;SP;579813.38;289906.69;349479.64;2
BEMSTAR ASSISTENCIA MEDICA LTDA;BA;523330.42;174443.47;44257.43;3
ALMA ODONTO OPERADORA DE PLANOS ODONTOLOGICOS LTDA;SP;511267.24;170422.41;36004.00;3
